Code_ADN	Og_acc	RYMV13_R1	RYMV17_R1	RYMV20_R1	AUDPC_R1	MOY1720_R1	RYMV13_R2	RYMV17_R2	RYMV20_R2	AUDPC_R2	MOY1720_R2	RYMV13_R3	RYMV17_R3	RYMV20_R3	AUDPC_R3	MOY1720_R3	RYMV13_R4	RYMV17_R4	RYMV20_R4	AUDPC_R4	MOY1720_R4	RYMV13_R5	RYMV17_R5	RYMV20_R5	AUDPC_R5	MOY1720_R5	RYMV13_R6	RYMV17_R6	RYMV20_R6	AUDPC_R6	MOY1720_R6	RYMV13_M1	RYMV17_M1	RYMV20_M1	AUDPC_M1	MOY1720_M1	RYMV13_M2	RYMV17_M2	RYMV20_M2	AUDPC_M2	MOY1720_M2	RYMV13_M3	RYMV17_M3	RYMV20_M3	AUDPC_M3	MOY1720_M3	RYMV13	RYMV17	RYMV20	AUDPC	MOY1720
FH	400	0.8496993092	-0.1058100184	0.4753455569	2.0420818894	0.1847677693	0.8624140436	0.7661840573	0.4792318528	5.125320067	0.6227079551	0.8034778264	0.8416174036	0.2783029671	4.9700710161	0.5599601854	-1.1408033414	-1.002861171	-0.9574221777	-7.2277540479	-0.9801416744	-0.4858970495	0.0274736695	0.1354237693	-0.6725006018	0.0814487194	0.5321746648	0.5984268268	-0.0158436303	3.135077778	0.2912915983	0.8560566764	0.3301870195	0.4772887049	3.5837009782	0.4037378622	-0.1686627575	-0.0806218837	-0.3395596053	-1.1288415159	-0.2100907445	0.0231388077	0.3129502482	0.0597900695	1.2312885881	0.1863701588	0.2368442422	0.187505128	0.065839723	1.2287160168	0.1266724255
FI	487	-1.1397752943	0.0123013099	0.3511203674	-1.7098154529	0.1817108387	0.6780916934	0.3690595568	0.4804180702	3.3685189409	0.4247388135	-0.6391219831	0.1566625137	0.2938700565	-0.2891200835	0.2252662851	-1.122312817	-1.1729080801	-1.0078266131	-7.861543834	-1.0903673466	0.9868466068	0.8386433451	0.5806448914	5.7799122586	0.7096441183	0.8880284352	0.8127600274	0.0697710181	4.7253734935	0.4412655228	-0.2308418005	0.1906804334	0.4157692188	0.829351744	0.3032248261	-0.8807174001	-0.5081227832	-0.3569782783	-4.0753319588	-0.4325505308	0.937437521	0.8257016863	0.3252079548	5.252642876	0.5754548205	-0.0580405598	0.1694197788	0.1279996318	0.6688875538	0.1487097053
FK	496	0.110495885	0.5011723325	0.7413859108	3.0871738	0.6212791217	-0.8788935565	-0.1367474453	0.028623076	-2.1934685576	-0.0540621847	0.9045446966	0.8823005459	0.6559456344	5.8810597555	0.7691230902	-1.122312817	-0.4280248481	-0.4532708563	-4.4226188868	-0.4406478522	-0.6433086854	-0.0669670693	0.1056919219	-1.3624642305	0.0193624263	-1.0219295534	-0.4962173978	-0.1954260681	-4.0737591013	-0.345821733	-0.3841988358	0.1822124436	0.3850044934	0.4468526212	0.2836084685	-0.1088840602	0.2271378489	0.1013373891	0.7292204343	0.164237619	-0.8326191194	-0.2815922336	-0.0448670731	-2.7181116659	-0.1632296533	-0.4419006718	0.0425860197	0.1471582698	-0.5140128701	0.0948721447
FL	122	1.1907734003	0.5680309115	0.178235581	4.6370083624	0.3731332463	-0.150544395	0.6679711344	0.2860964324	2.465954829	0.4770337834	1.0311275319	0.8390939179	-0.0124475346	4.9804124746	0.4133231917	0.1114542783	0.7776734613	0.5299661775	3.7397149374	0.6538198194	0.213050214	0.5683615371	0.2198238521	2.745101586	0.3940926946	-0.1533298669	0.2188118048	0.2734748367	0.8693938381	0.2461433208	0.5201145027	0.618001023	0.2321660067	3.5514815957	0.4250835148	0.5712909051	0.8083836896	0.2587593215	4.360063706	0.5335715055	0.0298601736	0.393586671	0.2466493444	1.807247712	0.3201180077	0.3737551938	0.6066571278	0.2458582242	3.2395976712	0.426257676
FM	206	-0.6367830241	-0.4195851035	-0.3868498128	-3.3223886297	-0.4032174582	-1.1203977087	-1.1397902718	-1.1133682919	-7.9001138066	-1.1265792819	0.4143426207	0.2595217398	-0.0676496447	1.6355368637	0.0959360476	0.2815750596	0.3443838598	-0.0813714233	1.6464364936	0.1315062183	-1.116900305	-1.0601502327	-1.0398784921	-7.5041441626	-1.0500143624	-0.7813568299	-0.4455144836	-0.6810792893	-4.1436332864	-0.5632968865	-0.8785903664	-0.7796876877	-0.7501090524	-5.6112512181	-0.76489837	0.3479588402	0.3019527998	-0.074510534	1.6409866786	0.1137211329	-0.9491285675	-0.7528323582	-0.8604788907	-5.8238887245	-0.8066556244	-0.4932533646	-0.410189082	-0.5616994924	-3.2647177547	-0.4859442872
FP	159	0.2612063637	0.3277082443	0.0167826113	1.6945654994	0.1722454278	-1.1240125274	-0.9130841085	-0.8061405371	-6.6530302402	-0.8596123228	-0.5651104339	-0.3574847795	-0.1446906861	-2.5984536252	-0.2510877328	-1.1248201244	-1.0854907774	-0.9540200458	-7.4798880384	-1.0197554116	-0.226514354	0.0467910933	0.1709101678	-0.0328946298	0.1088506306	-0.8807576867	-0.6649322335	-0.6068810732	-4.9990998005	-0.6359066534	-0.4314030819	-0.2926879321	-0.3946789629	-2.4792323704	-0.3436834475	-0.8449652792	-0.7214877785	-0.549355366	-5.0391708318	-0.6354215722	-0.5536360204	-0.3090705701	-0.2179854527	-2.5159972151	-0.2635280114	-0.6100014605	-0.4410820936	-0.3873399272	-3.3448001391	-0.4142110104
FQ	116	-0.4281851228	-0.5464601174	-0.8047678904	-3.9761324921	-0.6756140039	-0.2718326519	-0.5683117218	-0.4109073045	-3.1491172869	-0.4896095132	-1.0619475817	-0.5837692376	-0.4564453907	-4.8517555811	-0.5201073142	-1.1178355233	-1.1690508705	-1.0794558274	-7.9465328345	-1.124253349	-1.1040660585	-0.4938233448	-0.1994175332	-4.2356401236	-0.346620439	-1.1356410636	-1.0220337281	-1.0901200438	-7.4835802413	-1.056076886	-0.3500088874	-0.5573859196	-0.6078375975	-3.5626248895	-0.5826117585	-1.0898915525	-0.8764100541	-0.7679506091	-6.3991442078	-0.8221803316	-1.1198535611	-0.7579285365	-0.6447687885	-5.8596101824	-0.7013486625	-0.8532513336	-0.7305748367	-0.6735189983	-5.2737930932	-0.7020469175
FR	129	1.1907734003	0.7479284413	0.5117634261	5.7669414843	0.6298459337	-0.7857212341	-0.1070197398	-0.4076912285	-2.5575484003	-0.2573554842	0.9149825537	0.9886475768	0.2221560841	5.6234657524	0.6054018305	0.3878449236	0.77428589	-0.1255369395	3.297385053	0.3243744753	0.2859401232	0.7593454077	0.1301952875	3.4248821046	0.4447703476	0.7984310488	0.637881197	-0.0719359862	3.7215423078	0.2829726054	0.2025260831	0.3204543508	0.0520360988	1.604696542	0.1862452248	0.6514137387	0.8814667334	0.0483095723	4.4604254027	0.4648881529	0.542185586	0.6986133024	0.0291296507	3.5732122062	0.3638714765	0.4653751359	0.6335114622	0.0431584406	3.2127780503	0.3383349514
FS	431	1.0084578917	0.2349719839	0.5521159677	3.6674916786	0.3935439758	0.5035218486	-0.4440473116	0.2811335374	-0.1254215873	-0.0814568871	0.8349235227	0.9577776404	0.9162467875	6.3964389681	0.937012214	-1.122312817	-1.1163060108	-1.0015486234	-7.6540196069	-1.0589273171	-0.1821393488	0.2083763247	0.1998270148	0.6647789611	0.2041016698	-1.1262222416	-0.9946766643	-0.7479964858	-6.855807537	-0.8713365751	0.7559898702	-0.1045376639	0.4166247526	1.7710350457	0.1560435444	-0.1436946472	-0.0792641852	-0.042650918	-0.6287903194	-0.0609575516	-0.6541807952	-0.3931501698	-0.2740847355	-3.095514288	-0.3336174527	-0.0139618574	-0.1923173396	0.0332963664	-0.6510898539	-0.0795104866
FT	114	0.2999399739	0.596117883	0.2061577396	2.9955291477	0.4011378113	0.6527951317	0.5984231475	-0.2091668995	3.0863209304	0.194628124	0.4817563059	0.7757959326	-0.6488953918	2.7054552882	0.0634502704	0.5684467532	0.449079041	-0.2509727212	2.3322110681	0.0990531599	-0.8053444669	0.2752496502	-0.0618301944	-0.7400604497	0.1067097279	0.1636420189	0.3222462349	-0.6259710099	0.5161893451	-0.1518623875	0.4763675528	0.5972705153	-0.00150458	3.0409250391	0.2978829677	0.5251015296	0.6124374868	-0.4499340565	2.5188331782	0.0812517152	-0.320851224	0.2987479426	-0.3439006022	-0.1119355523	-0.0225763298	0.2268726195	0.5028186482	-0.2651130795	1.8159408883	0.1188527843
FV	403	0.7191861187	-0.0711731592	-0.3544058688	0.657657377	-0.212789514	-0.2526218638	-0.3499668503	-0.4763008489	-2.444578977	-0.4131338496	0.4943369124	1.0570135253	0.5410558277	5.4998049049	0.7990346765	-1.131134606	0.0686055146	0.0510936844	-1.9455093843	0.0598495995	0.1906267488	0.8127468582	0.6278529501	4.1676469265	0.7202999042	-0.7144873222	-0.1352264955	-0.2888155166	-2.3354906536	-0.2120210061	0.2332821275	-0.2105700048	-0.4153533589	-0.8934608	-0.3129616818	-0.3183988468	0.56280952	0.2960747561	1.7771477603	0.429442138	-0.2619302867	0.3387601814	0.1695187168	0.9160781365	0.2541394491	-0.1156823354	0.2303332322	0.0167467047	0.5999216989	0.1235399684
GB	430	1.2616924406	0.1120669995	0.4816554537	3.63810256	0.2968612266	0.7463391184	0.7602091863	-0.2758321144	3.7396622173	0.242188536	-0.9047889054	0.5516065336	0.1641618226	0.3672877907	0.3578841781	-1.1192828148	-1.0936651831	-0.9272590787	-7.4572823885	-1.0104621309	-0.0901605819	0.3933459937	-0.443059078	0.5318011972	-0.0248565422	-0.7313334719	-0.4695203214	-0.134319392	-3.3074671567	-0.3019198567	1.0040157795	0.4361380929	0.1029116697	3.6888823886	0.2695248813	-1.0120358601	-0.2710293248	-0.3815486281	-3.5449972989	-0.3262889764	-0.4107470269	-0.0380871639	-0.288689235	-1.3878329798	-0.1633881994	-0.1395890358	0.0423405348	-0.1891087311	-0.4146492967	-0.0733840982
GC	438	0.4435500521	-0.341564125	0.0368077312	-0.2531627365	-0.1523781969	-0.9038863859	-0.3072655166	-0.3821535786	-3.4564324478	-0.3447095476	0.7302813844	0.4860098435	0.1109454173	3.328015347	0.2984776304	-1.1397290375	-1.2153461256	-1.0865478289	-8.162991258	-1.1509469773	-0.4583609466	0.0001160901	-0.1382382396	-1.1236729373	-0.0690610748	0.1270234866	-0.0520499309	-0.1992383809	-0.2269853563	-0.1256441559	-0.2301681669	-0.3244148208	-0.1726729237	-1.8547975922	-0.2485438723	-0.2047238266	-0.3646681411	-0.4878012058	-2.4174879555	-0.4262346734	-0.16566873	-0.0259669204	-0.1687383103	-0.6753291468	-0.0973526153	-0.2001869078	-0.2383499608	-0.2764041466	-1.6492048981	-0.2573770537
GD	402	1.1681904533	0.5500556714	0.6741073053	5.2727367145	0.6120814884	0.3279767532	0.9385754194	0.4124081399	4.5595796842	0.6754917797	0.3348548425	0.9716240747	0.3837087846	4.6459571234	0.6776664297	-1.0838652332	0.2980440559	-0.1971392485	-1.4202851435	0.0504524037	-0.9060125252	0.1463896284	-0.4127039808	-1.9187173222	-0.1331571762	-0.3496990419	0.5777317	0.2735306586	1.7329588541	0.4256311793	0.7480836033	0.7443155454	0.5432577226	4.9161581993	0.643786634	-0.3745051954	0.6348340653	0.0932847681	1.6128359899	0.3640594167	-0.6278557836	0.3620606642	-0.0695866611	-0.0928792341	0.1462370016	-0.0847591252	0.580403425	0.1889852765	2.1453716517	0.3846943507
GE	154	1.1355125149	0.8156717476	0.3311910259	5.6226626853	0.5734313868	-0.7171537936	0.315424712	0.0999918071	-0.1803333846	0.2077082596	0.7594584828	0.9136349389	0.4873690022	5.4476927551	0.7005019706	-0.9312468927	0.4648877073	0.3782293448	0.3319572074	0.4215585261	0.6674649364	0.8913917913	0.8672108512	5.7556174192	0.8793013213	-1.0529929228	-0.4677734045	-0.0641615125	-3.8394350301	-0.2659674585	0.2091793607	0.5655482298	0.2155914165	2.7211646504	0.3905698232	-0.085894205	0.6892613231	0.4327991735	2.8898249812	0.5610302483	-0.1927639932	0.2118091934	0.4015246694	0.9580911945	0.3066669314	-0.0231596125	0.4888729154	0.3499717531	2.1896936087	0.4194223343
GH	297	1.0123538079	0.5288266286	0.5089983397	4.6390983255	0.5189124842	0.0650899308	0.4474750369	0.1537659369	1.9269913961	0.3006204869	0.6820230241	0.3153013802	-0.0741917439	2.3563132631	0.1205548182	-0.3375422457	0.7628826901	-0.1519273507	1.7671138979	0.3054776697	0.0032128104	0.5410960014	0.2980919131	2.3473994954	0.4195939573	0.3464183708	0.7523580914	0.2795608759	3.7454313754	0.5159594837	0.5387218694	0.4881508328	0.3313821383	3.2830448608	0.4097664855	0.1722403892	0.5390920352	-0.1130595473	2.0617135805	0.2130162439	0.1748155906	0.6467270464	0.2888263945	3.0464154354	0.4677767205	0.2952592831	0.5579899714	0.1690496618	2.7970579589	0.3635198166
GI	280	1.0844282564	0.0751955041	0.2860486537	2.8611137577	0.1806220789	0.8222217315	0.8504173962	0.3062776334	5.0803207998	0.5783475148	0.5621829836	1.0038293059	0.2049762999	4.9452329877	0.6044028029	-0.9485029382	0.3895934246	-0.2683809871	-0.936000371	0.0606062188	0.1167321102	0.7024612539	0.1915227974	2.9793628052	0.4469920257	-0.1559344013	0.6442023909	0.181871355	2.2156465981	0.413036873	0.953324994	0.4628064502	0.2961631436	3.9707172788	0.3794847969	-0.1931599773	0.6967113653	-0.0317023436	2.0046163084	0.3325045108	-0.0196011456	0.6733318224	0.1866970762	2.5975047016	0.4300144493	0.2468546237	0.6109498793	0.1503859587	2.8576127629	0.380667919
GK	188	0.1052917227	0.4822476618	0.3609323624	2.4398488053	0.4215900121	-0.7890837571	-0.757070625	-0.5958430057	-5.1216792103	-0.6764568154	-0.8145703683	0.8091869621	0.5024013133	1.9566156007	0.6557941377	-0.1270199608	0.4976342303	0.1131956772	1.6574734003	0.3054149538	-1.0591461956	0.127309371	-0.0868100966	-1.8029247376	0.0202496372	-0.7751610836	-0.0678226372	-0.178735642	-2.0558048604	-0.1232791396	-0.3418960172	-0.1374114816	-0.1174553217	-1.3409152025	-0.1274334016	-0.4707951646	0.6534105962	0.3077984953	1.8070445005	0.4806045457	-0.9171536396	0.0297433669	-0.1327728693	-1.929364799	-0.0515147512	-0.5766149405	0.1819141605	0.0191901014	-0.487745167	0.100552131
GL	43	0.7737701248	0.8623823728	-0.8037224657	3.3602948559	0.0293299536	0.6114832087	0.9238693165	0.5005898988	5.2073938734	0.7122296077	0.6498609832	0.545711558	0.0857915472	3.3383997402	0.3157515526	-1.0819147174	0.4129449467	-0.6525695382	-1.6973764287	-0.1198122958	-0.8837448262	0.1227422187	0.0913143941	-1.2009202958	0.1070283064	-1.0419343561	0.2025495577	-0.0121060396	-1.3931043197	0.0952217591	0.6926266668	0.8931258447	-0.1515662835	4.2838443646	0.3707797806	-0.2160268671	0.4793282524	-0.2833889955	0.8205116558	0.0979696284	-0.9628395912	0.1626458882	0.0396041773	-1.2970123077	0.1011250327	-0.1620799305	0.5116999951	-0.1317837006	1.2691145709	0.1899581473
GM	115	0.4453820472	0.6039822351	0.6933256234	4.0446903524	0.6486539293	0.6464757209	0.6875737096	0.071229809	3.8063041389	0.3794017593	0.7051270242	0.7322785677	0.1293461206	4.1672482163	0.4308123442	0.1169580851	0.9315568566	0.2268446945	3.8346322101	0.5792007756	-0.9659849855	0.8847227262	0.6992341502	2.213410796	0.7919784382	-0.1897663227	0.0279402226	0.3024757018	0.1719716864	0.1652079622	0.5459288841	0.6457779724	0.3822777162	3.9254972456	0.5140278443	0.4110425547	0.8319177122	0.1780954076	4.0009402132	0.5050065599	-0.5778756541	0.4563314744	0.500854926	1.1926912412	0.4785932002	0.1263652615	0.6446757196	0.3537426833	3.0397095667	0.4992092014
GN	243	0.9256696739	-0.1650278746	-0.389110301	0.6900763352	-0.2770690878	0.6580113528	0.5625366903	0.1904155233	3.5705244066	0.3764761068	0.5590516264	0.8661585858	0.270474227	4.5553696436	0.5683164064	-0.6240631519	-0.8321950639	-0.8494464176	-5.4349786539	-0.8408207408	0.4090978542	0.5654749245	-0.1915227974	2.5100737481	0.1869760636	-0.6849426266	0.1270829481	-0.1823537724	-1.1986255935	-0.0276354122	0.7918405134	0.1987544079	-0.0993473889	2.1303003709	0.0497035095	-0.0325057628	0.016981761	-0.2894860953	-0.4398045051	-0.1362521672	-0.1379223862	0.3462789363	-0.1869382849	0.6557240773	0.0796703257	0.2071374548	0.1873383684	-0.191923923	0.7820733144	-0.0022927773
GP	156	1.1276181027	0.6918285157	0.0082850866	4.6890636403	0.3500568012	0.6598905719	0.5193122624	0.0661439621	3.2365900054	0.2927281123	0.9335286145	0.6185400003	0.2105256942	4.3477357714	0.4145328473	-0.3971322891	0.5127015437	0.4141380539	1.6213979056	0.4634197988	0.7857767443	0.694778047	0.2704625887	4.4089705362	0.4826203179	0.0867576707	0.455591412	0.3948874828	2.3604165076	0.4252394474	0.8937543373	0.6055703891	0.0372145244	3.9628268228	0.3213924567	0.2681981627	0.565620772	0.3123318741	2.9845668385	0.438976323	0.4362672075	0.5751847295	0.3326750358	3.3846935219	0.4539298826	0.5327399025	0.5821252969	0.2274071447	3.4440290611	0.4047662208
GQ	12	0.958545589	0.2208759439	-1.0598515033	1.1003797267	-0.4194877797	-0.8106952586	-0.6544195585	-0.7357309759	-5.0154554358	-0.6950752672	-1.0959251637	-0.6236829616	-0.5785397613	-5.242550335	-0.6011113615	-1.1228245241	-1.0109642078	-1.0187610944	-7.3121654171	-1.0148626511	-1.1083441407	-1.0555830804	-0.943650319	-7.3267045413	-0.9996166997	-1.0983287157	-0.5990666274	-0.6535251496	-5.2736783517	-0.6262958885	0.0739251652	-0.2167718073	-0.8977912396	-1.9575378546	-0.5572815235	-1.1093748439	-0.8173235847	-0.7986504279	-6.277357876	-0.8079870063	-1.1033364282	-0.8273248539	-0.7985877343	-6.3001914465	-0.8129562941	-0.7129287023	-0.6204734153	-0.8316764673	-4.845029059	-0.7260749413
GR	121	1.4611570181	0.6399335586	0.426788179	5.8022637598	0.5333608688	-1.1050542952	0.3573114003	0.4025049526	-0.3557612605	0.3799081765	-0.5473612265	0.177751466	-0.1525779582	-0.7014592593	0.0125867539	-0.8357010258	-0.6027565226	-1.0097403294	-5.2956603748	-0.806248426	-0.6259903749	0.3419655301	0.1732107116	0.204714673	0.2575881209	-1.0703622337	-0.6343457495	-0.2403913582	-4.721521628	-0.4373685539	0.1780513615	0.4986224795	0.4146465658	2.7232512497	0.4566345226	-0.6915311262	-0.2125025283	-0.5811591438	-2.9985598171	-0.3968308361	-0.8481763043	-0.1461901097	-0.0335903233	-2.2584034775	-0.0898902165	-0.4538853563	0.0466432805	-0.0667009671	-0.8445706816	-0.0100288433
GT	412	0.6578254395	0.1377653144	0.543702772	2.6133836374	0.3407340432	-0.4889145576	0.136952464	-0.1621974306	-0.7417916371	-0.0126224833	0.0727741377	0.8064645709	-0.0104069867	2.9525637935	0.3980287921	0.4117921275	0.1374224775	-0.2519843001	0.9265864761	-0.0572809113	-0.5809380372	-0.502682296	-0.7383089065	-4.0287274702	-0.6204956013	-1.0909256832	-0.1590790094	0.1263933555	-2.5490378661	-0.016342827	0.084455441	0.1373588892	0.1907526707	0.9357960002	0.16405578	0.2422831326	0.4719435242	-0.1311956434	1.9395751348	0.1703739404	-0.8359318602	-0.3308806527	-0.3059577755	-3.2888826681	-0.3184192141	-0.1697310956	0.0928072536	-0.0821335827	-0.1378371777	0.0053368354
HA	41	0.6612583322	0.5455613344	-0.9563544636	1.7974496394	-0.2053965646	0.506395449	0.6997306044	-0.6365457537	2.5070293829	0.0315924254	-0.1189298149	0.2140263129	0.1564059785	0.7458414331	0.1852161457	-1.1268373903	-0.7553388038	-0.8594647871	-6.1865577746	-0.8074017955	-0.2965780471	0.4390175169	0.261249253	1.3352790945	0.350133385	-0.979992545	-0.3740700834	-0.4488372545	-3.9424862637	-0.411453669	0.5838268906	0.6226459694	-0.7964501087	2.1522395111	-0.0869020696	-0.6228836026	-0.2706562455	-0.3515294043	-2.7203581707	-0.3110928249	-0.6382852961	0.0324737168	-0.0937940008	-1.3036035846	-0.030660142	-0.2257806694	0.1281544802	-0.4139245046	-0.6239074147	-0.1428850122
HB	426	1.1243613968	0.4897204972	0.3449410236	4.4801560692	0.4173307604	0.3592417378	0.4280789593	0.0414873798	2.2789909029	0.2347831696	0.3591309887	0.7664294003	-0.6672780831	2.3998477538	0.0495756586	0.5118683726	0.5760958614	-0.2052902632	2.7321368653	0.1854027991	-0.2270385997	0.9241933635	0.4679992766	3.4825984878	0.6960963201	-0.2922872966	0.399725443	0.4158437878	1.438230139	0.4077846154	0.7418015673	0.4588997283	0.1932142017	3.379573486	0.326056965	0.4354996807	0.6712626309	-0.4362841732	2.5659923096	0.1174892289	-0.2596629482	0.6619594033	0.4419215322	2.4604143134	0.5519404677	0.3058794333	0.5973739208	0.0662838536	2.8019933697	0.3318288872
HC	169	0.4871839129	0.4600193894	0.3598701718	3.1242409464	0.4099447806	1.0351194827	0.5345994497	0.1752479428	4.2042089536	0.3549236963	0.5892039069	0.8709114309	0.180947285	4.4980187495	0.525929358	-1.1408033414	-1.1712667999	-1.0576058726	-7.9674492914	-1.1144363363	-0.7667907424	-0.1136522174	-0.5202784654	-2.7117819438	-0.3169653414	0.3681945425	0.4470073517	-0.3710952175	1.7442719897	0.0379560671	0.7611516978	0.4973094196	0.2675590573	3.66422495	0.3824342384	-0.2757997173	-0.1501776845	-0.4383292938	-1.734715271	-0.2942534892	-0.1992981	0.1666775672	-0.4456868415	-0.4837549771	-0.1395046372	0.0953512935	0.1712697674	-0.2054856927	0.481918234	-0.0171079626
HD	191	1.5262859188	0.9977318833	0.1145041456	6.7163896476	0.5561180145	-0.6085881242	0.6613814817	0.4637895491	1.7933432612	0.5625855154	0.1788978095	0.8074449253	0.7495580631	4.3081899522	0.7785014942	-1.1375804296	-0.8932279764	-0.1270106621	-5.5919747698	-0.5101193193	0.6563647584	0.9128595703	0.3718092817	5.0654519354	0.642334426	0.3242411077	0.818091699	0.179987577	3.7817845274	0.499039638	0.4588488973	0.8295566825	0.2891468474	4.2548664544	0.5593517649	-0.4793413101	-0.0428915256	0.3112737005	-0.6418924088	0.1341910875	0.4903029331	0.8654756347	0.2758984294	4.4236182314	0.570687032	0.1566035068	0.5507135972	0.2921063257	2.6788640923	0.4214099615
HE	109	0.5871652005	0.424030758	0.1037061246	2.8139972409	0.2638684413	1.1920294028	0.6074702856	0.0071825696	4.5209786596	0.3073264276	1.0482324969	0.8954686861	-0.1618179501	4.98787847	0.366825368	-1.0968817198	-0.4926657923	-0.8650011039	-5.2155953685	-0.6788334481	0.1954014035	0.5315023515	0.0206788202	2.2820792676	0.2760905859	0.749021929	0.8328327086	0.4283232113	5.0554431551	0.63057796	0.8895973017	0.5157505218	0.0554443471	3.6674879503	0.2855974345	-0.0243246115	0.2014014469	-0.513409527	-0.1138584493	-0.1560040401	0.4722116663	0.6821675301	0.2245010158	3.6687612113	0.4533342729	0.4458281188	0.4664398329	-0.0778213881	2.4074635708	0.1943092224
HF	190	0.0115455778	-0.2036533146	-0.3592328575	-1.2285447318	-0.2814430861	0.6029974026	0.769435026	0.143329785	4.1140120737	0.4563824055	0.5220581625	0.6883119942	0.6531782947	4.4329757468	0.6707451445	0.7221079784	0.8657503162	0.3620440827	5.0174081876	0.6138971995	-0.8214085187	0.5538659135	0.1935335355	0.5860139631	0.3736997245	0.1509836163	0.6889006447	-0.0386240312	2.6551834423	0.3251383068	0.3072714902	0.2828908557	-0.1079515363	1.442733671	0.0874696597	0.6220830705	0.7770311552	0.5076111887	4.7251919672	0.642321172	-0.3352124512	0.6213832791	0.0774547522	1.6205987027	0.3494190156	0.1980473698	0.5604350967	0.1590381349	2.5961747803	0.3597366158
HG	404	-0.447640764	-0.7181003047	-0.1083198946	-3.5711124364	-0.4132100997	-0.0297767216	0.2046086214	-0.0121138861	0.6384059026	0.0962473677	-0.8323147254	-0.1355924644	-0.4231595588	-2.7739424144	-0.2793760116	-0.5122723729	0.2602563147	-0.3517766895	-0.6413126786	-0.0457601874	-0.7630999302	0.2238674785	0.5257741524	0.0459975429	0.3748208155	-0.8840017031	0.4033580017	0.3729813159	0.2032215736	0.3881696588	-0.2387087428	-0.2567458417	-0.0602168904	-1.4663532669	-0.158481366	-0.6722935492	0.0623319252	-0.3874681242	-1.7076275465	-0.1625680995	-0.8235508167	0.3136127401	0.4493777342	0.1246095583	0.3814952371	-0.5781843695	0.0397329412	0.0005642399	-1.016457085	0.0201485905
HH	408	0.5243903119	0.2830166597	0.4953268967	2.7823292778	0.3891717782	0.7914844705	0.5480148746	-0.1032360381	3.346166945	0.2223894183	0.8106039826	0.7927982137	0.6162173835	5.3203277884	0.7045077986	0.1483728843	0.9222098386	0.4449935512	4.1919705305	0.6836016949	-0.7541898376	-0.0734062106	0.5823605716	-0.8917605549	0.2544771805	0.8846474018	0.5856308148	0.2331277036	4.1686942108	0.4093792592	0.6579373912	0.4155157672	0.1960454293	3.0642481114	0.3057805982	0.4794884335	0.8575040262	0.5306054674	4.7561491595	0.6940547468	0.0652287821	0.2561123021	0.4077441376	1.638466828	0.3319282199	0.4008848689	0.5097106985	0.3781316781	3.1529546996	0.4439211883
HK	17	0.4517851574	0.5309561092	-1.0399884351	1.2019340444	-0.254516163	-0.5289732999	0.4285470843	-0.04090096	0.3806167553	0.1938230622	0.7131764194	0.7619494983	-0.2245968203	3.7562808524	0.268676339	-1.1418776453	-0.8740139114	-0.6924919622	-6.3815419238	-0.7832529368	-0.9938293421	-0.1461574481	0.0779160987	-2.3823356045	-0.0341206747	-0.3578823905	0.3382412499	-0.2589105057	0.0797138351	0.0396653721	-0.0385940713	0.4797515968	-0.5404446976	0.7912753998	-0.0303465504	-0.214350613	-0.0560322066	-0.4585443913	-1.3126305357	-0.2572882989	-0.6758558663	0.0960419009	-0.0904972035	-1.1513108847	0.0027723487	-0.3096001835	0.1732537637	-0.3631620974	-0.5575553402	-0.0949541669
HL	61	0.2322499523	0.7994675567	-1.0933050919	1.6226787152	-0.1469187676	0.1999676235	0.9117882865	0.1367921567	3.7963824848	0.5242902216	-0.4586394411	0.8557137882	0.5840052881	2.9537273087	0.7198595382	0.3765282741	0.783259435	0.4036747377	4.0999766773	0.5934670864	0.5120333211	0.3129422663	-0.1724447147	1.8606975022	0.0702487758	-0.8058693224	-0.1245478499	-0.0935856674	-2.1880346206	-0.1090667587	0.2161087879	0.8556279216	-0.4782564676	2.7095306	0.188685727	-0.0410555835	0.8194866116	0.4938400129	3.526851993	0.6566633123	-0.1469180007	0.0941972082	-0.1330151911	-0.1636685592	-0.0194089914	0.0093784013	0.5897705805	-0.0391438819	2.0242380113	0.2753133493
HM	158	0.1102257303	0.2133914149	0.1304370044	1.1629769194	0.1719142097	0.1885940772	0.3187195383	-0.0377466443	1.436086572	0.140486447	0.6571674832	-0.2909896065	-0.5648927783	-0.5514678238	-0.4279411924	-0.8011325832	0.1832775004	-0.3915372909	-1.5480998514	-0.1041298953	0.2051301317	0.2560631849	0.1056919219	1.4650192934	0.1808775534	-0.8524151725	-0.0609389787	-0.5482306513	-2.7404627474	-0.304584815	0.1494099038	0.2660554766	0.0463451801	1.2995317457	0.1562003283	-0.07198255	-0.0538560531	-0.4782150346	-1.0497838376	-0.2660355438	-0.3236425204	0.0975621031	-0.2212693647	-0.637721727	-0.0618536308	-0.0820717222	0.1032538422	-0.2177130731	-0.1293246063	-0.0572296154
