Code_ADN	Og_acc	MOY1720_M1	MOY1720_M2	MOY1720_M3	MOY1720	MOY1720norm	MOY1720_M1norm	MOY1720_M2norm	MOY1720_M3norm
KA	401	0.4739675152	0.1181623024	0.2909285158	0.2943527778	0.149443208883694	0.587549243077406	0.442822503470831	0.368516450901567
KD	64	-0.7397403913	-0.7370997857	-0.4712283303	-0.6493561691	-0.606750025736431	-0.55145496223692	-0.45823839373129	-0.373125079598358
KE	118	-0.5282071166	-0.2138052814	-0.0490445391	-0.2636856457	-0.367368172939294	-0.415387797864726	-0.147620125384043	0.000955689090052244
KF	495	-0.0474325369	-0.5819066157	-0.1158351657	-0.2483914394	-0.355581178558359	0.00256911036218839	-0.133486791208002	-0.0647394053883173
KG	505	0.2680718509	0.353581837	-0.068196918	0.18448559	0.0347812168634327	0.342161893635173	0.315204645927061	-0.0181138832521124
KH	7	-0.1490294294	-0.6361816065	-0.4693167031	-0.418175913	-0.477489360843517	-0.0965356755224417	-0.28304576755536	-0.37166956992223
KI	10	0.2086929374	0.4577222199	0.0818511911	0.2494221161	0.101853811853041	0.274764201230233	0.390005425882576	0.1361063000792
KK	416	0.1783525849	0.3439309584	-0.1737172725	0.1161887569	-0.033523811744974	0.240930867042316	0.238533729795533	-0.119807976414188
KL	62	-0.298279123	-0.1745831614	0.3204606296	-0.0508005516	-0.190354687423457	-0.232162787014663	0.0600671339512207	0.402901790286309
KM	429	0.5525397945	-0.012597978	0.2689347206	0.2696255124	0.123134770945146	0.68578569040135	0.41364873131029	0.343152693240928
KP	216	0.2792513423	-0.2365717735	0.1317916656	0.0581570781	-0.0897006961968168	0.355023944061415	0.175039692160213	0.189819050909779
KR	200	0.0882646854	-0.1404665477	-0.1897947061	-0.0806655228	-0.216802362460537	0.142939176778226	0.0295485647139467	-0.134788813166205
KS	15	-0.5509492321	-0.0524599759	0.2825457199	-0.1069544961	-0.239662751637544	-0.431635296058806	0.00304782149787123	0.358824488556839
KV	57	-0.3327704021	-0.7330643908	-0.4490570059	-0.5049639329	-0.53155107005704	-0.261721662078566	-0.352918904042048	-0.356097271955943
LA	124	0.0283728921	0.0873717266	-0.0369582955	0.0262621077	-0.119827278490103	0.0798889791165133	0.140803576875716	0.0130841340376572
LB	463	0.4652898191	0.4256037885	0.141413486	0.3441023645	0.203236833750092	0.576851971341093	0.502297535995977	0.200300216733464
LC	274	-0.0960986394	-0.6874476501	-0.8198830408	-0.5344764434	-0.548510491505149	-0.0455632142148513	-0.375592677837939	-0.59307448451707
LD	132	-0.0480665378	0.0262586982	0.1057765508	0.0279895704	-0.118209423422302	0.00193439646807884	0.142645675729616	0.161694172451196
LE	102	0.5816451449	0.6510421235	-0.0555312791	0.3923853298	0.256527842493539	0.722797370003674	0.561000786281618	-0.00552362327197331
LG	105	0.2366187612	0.1500244877	0.5104822449	0.2990418313	0.154464431867302	0.306267737362768	0.448383920536943	0.632895287234133
LH	106	0.1422683798	0.0370228691	-0.5097949007	-0.1101678839	-0.242429697825977	0.201233516835993	-0.000167876853551722	-0.401971043546459
LI	107	-0.1692420331	-0.1387092747	0.2258708514	-0.0273601521	-0.169246538931613	-0.115613361782272	0.084324368364989	0.294101963104675
LK	108	-0.2759121064	0.2318842476	0.0205185731	-0.0078364286	-0.151433966578156	-0.21262662595673	0.104730110253324	0.071747552045898
LM	130	0.1806976872	0.012033882	0.5741401048	0.2556238913	0.108365741601491	0.243531209110553	0.397244580422096	0.713221774355204
LN	134	0.5583720731	-0.6186427491	0.6850869741	0.2082720994	0.0591129392546311	0.693175570578101	0.342391802283716	0.857002275095562
LP	155	0.6458908718	-0.1032391277	0.0024457677	0.1816991706	0.0319490682971678	0.805664803000846	0.312036090997014	0.0531275119099185
LR	162	0.3884441165	-0.5997261096	0.0802685428	-0.0436711501	-0.183966955217521	0.483466777551994	0.0674168628055569	0.134423133097511
LT	205	0.4287328199	-0.2850130386	0.3433598944	0.1623598919	0.0123980053200799	0.53212387821165	0.290138907525346	0.42982087058086
LV	217	-0.3830949615	-0.4189556227	-0.6772078159	-0.4930861334	-0.524514372593678	-0.303584650181738	-0.343634671953984	-0.514923571399661
MA	22	-0.4142699701	-0.2342030728	-0.116256361	-0.2549098013	-0.360623323833989	-0.328743605360293	-0.139525863893788	-0.0651464540336191
MB	225	0.2169108868	0.2283156941	0.2414211949	0.2288825919	0.080418338060395	0.283999073366661	0.366148206284852	0.311720180427677
MC	253	0.0865330186	-0.4727347444	-0.3820801723	-0.256093966	-0.361536358640876	0.14109237317628	-0.14062049467588	-0.302755614978236
ME	30	0.2449233976	0.5025541472	0.2993068136	0.3489281195	0.208515501328746	0.315702805664135	0.508121554371185	0.378233530392008
MF	32	-0.040654697	0.0173289833	0.1151156606	0.0305966489	-0.115764749705744	0.0093671027836173	0.145428410533647	0.171754628686551
MK	448	-0.3619330128	-0.8662410622	-1.0430339401	-0.7570693384	-0.647780349249236	-0.286166524906058	-0.526887377905047	-0.66627906150861
MM	457	0.0574878838	-0.4770151307	-0.5836826864	-0.3344033111	-0.419850319530123	0.110326530432178	-0.211298507036265	-0.454375926354625
MN	459	0.4102683314	-0.1060469294	0.3499648099	0.2180620706	0.069207369049484	0.509740715724251	0.353653101837464	0.437626588952409
MP	461	-0.4406501565	-0.5282526555	-0.1211895659	-0.363364126	-0.440350841654575	-0.349557499644341	-0.236564113869751	-0.0699071283775015
MQ	486	-0.3568651062	0.3340983945	0.4321437073	0.1364589985	-0.01349505783816	-0.28195497509589	0.261072168988859	0.536274015937927
MS	502	-0.0980131267	0.0931884443	0.1487957937	0.0479903704	-0.099362125209264	-0.0474321147488383	0.164075323893937	0.208370614429628
MT	56	-0.7572357136	-0.9331597457	-0.8444483081	-0.8449479224	-0.666427272391803	-0.561061324852288	-0.575695123852146	-0.60453824444288
MV	65	-0.0230416243	-0.5323869508	0.1023833472	-0.151015076	-0.277074286504707	0.0271392560104238	-0.0405915968612673	0.158048918177413
NA	66	0.2492046082	0.5303450763	0.4347639804	0.4047712216	0.270367798950634	0.320578620966992	0.576213647435646	0.53946543300595
NB	80	-0.5800887619	-0.4143484866	-0.8203960779	-0.6049444421	-0.585793290034568	-0.451917005073761	-0.427380565814955	-0.593320453795413
NC	81	0.0231807603	0.2520434289	0.1466855697	0.1406365863	-0.00934146099515972	0.0745037188755361	0.265740139685621	0.206061157089799
ND	82	0.1901078405	0.1162042537	0.213032341	0.1731148118	0.0232478752525253	0.253990463363996	0.302295942189083	0.279636836219987
NE	83	-0.211979735	-0.4905368108	-0.2802421064	-0.3275862174	-0.414939156485872	-0.155231576419445	-0.205281658137047	-0.216430925583815
NG	89	-0.2424969888	0.4710547302	-0.2526429608	-0.0080284065	-0.151610133639819	-0.182912223764391	0.104528572993033	-0.192000813960166
NH	94	0.2039545756	-0.2704353772	-0.3623075578	-0.1429294531	-0.270294763890422	0.269453168960982	-0.0326568594068177	-0.286477166963319
NI	97	0.2556594272	-0.9460359853	-0.4551614073	-0.3818459885	-0.453120458344004	0.327945125993891	-0.252434700144643	-0.360817397442587

