"Code_ADN" "x" "y" "tmaxPC1" "tmaxPC2" "bioPC1" "bioPC2"
"1" "DT" "5.2237175" "13.0214754" "-4.03229744314926" "0.693136735476537" "-4.02301620635464" "-0.613629157014008"
"2" "DV" "5.2284874" "13.0254448" "-4.03229744314926" "0.693136735476537" "-4.02301620635464" "-0.613629157014008"
"3" "EA" "-5.585278" "13.913333" "-1.53998869941437" "2.27006360786653" "-3.99379903421039" "2.83120486517362"
"4" "EB" "-9.267992" "6.99191" "2.42762593357636" "0.210225580628093" "4.81480247433335" "0.69444548530509"
"5" "EC" "-6.36667" "9.46667" "0.796952235476964" "-1.47448246816532" "0.82075640534561" "-0.660094517603503"
"6" "EE" "-5.666389" "11.316667" "-1.43589562227861" "-0.691519526636657" "-1.56626946604961" "0.470730253095787"
"7" "EH" "-4.41667" "11.33333" "-2.05740326475518" "-0.861239416087025" "-1.77050097280154" "0.163330233600198"
"8" "EI" "-15.4199871" "13.4249704" "-3.0995950171906" "-0.236444933378361" "-2.94625545330141" "-0.380938988546293"
"9" "EL" "-7.566" "9.516" "0.864600650856946" "-0.83638568607477" "0.107307083828641" "0.89039423661182"
"10" "EM" "5.2440646" "13.0096016" "-4.03229744314926" "0.693136735476537" "-4.02301620635464" "-0.613629157014008"
"11" "EN" "13.2605763" "10.2603809" "1.47459187565372" "-0.0387929275174172" "-0.651180389554627" "1.56748259875411"
"12" "EP" "-5.15" "10.83333" "0.856575303477872" "-0.425040905562206" "-0.16019192181464" "0.724162961366004"
"13" "ER" "-12.183333" "10.916389" "4.55367664318327" "1.38895746704587" "1.45177271961428" "2.3860375539474"
"14" "ES" "-9.883333" "10.65" "-1.09828649444987" "-0.817713302863723" "-1.29889311914597" "1.38521798888112"
"15" "ET" "-6.583" "6.483" "3.57586222021612" "0.202134296575265" "4.40304366922721" "-0.128326151872554"
"16" "EV" "-8.771389" "7.963333" "2.16142037525525" "-0.937475712239761" "3.17960550928756" "2.19734056848221"
"17" "FC" "13.61666667" "10.41666667" "4.56404435418274" "1.392803775351" "0.377485398007457" "3.77813963211719"
"18" "FF" "5.2249797" "13.0329227" "-4.03229744314926" "0.693136735476537" "-4.02301620635464" "-0.613629157014008"
"19" "FG" "-5.1692752" "10.6503878" "-0.673348991771659" "-1.0741769633888" "-0.449217587721851" "-0.495423009889668"
"20" "FH" "-3.783" "8.654" "0.690252265502516" "-1.56422877693143" "1.55375989279016" "-0.767340087637838"
"21" "FI" "-16.33333" "12.6" "-0.726413552135089" "0.104673193986124" "-0.935886325476686" "-0.410434122849095"
"22" "FL" "-16.211659" "12.792354" "-0.397034890862572" "0.24084734573937" "-0.941033354662115" "0.0788074508559507"
"23" "FP" "-5.783333" "12.833333" "-2.11087575871265" "0.528445201021601" "-3.01902408725277" "0.793743625957901"
"24" "FQ" "5.233243" "13.0544964" "-4.2738720907923" "0.681279747366074" "-4.08786497653129" "-0.732872567359925"
"25" "FS" "13.61667" "9.95" "-0.31827751811272" "-0.945054257237948" "-1.00494389973905" "0.0188049183719776"
"26" "FT" "-4.916389" "14.466667" "-1.83430030518358" "4.33980970718037" "-4.7550335883752" "1.74545944097648"
"27" "FV" "-7.61" "7.73" "5.52531466558631" "0.274926382699516" "3.80777074523211" "2.69580313504219"
"28" "GB" "13.51667" "10.08333" "2.26610950164664" "0.144438599895754" "-0.222979372813238" "1.91047161729597"
"29" "GC" "-5.829722" "14.262222" "-2.98751210347993" "2.23613418384542" "-4.46800041395214" "1.48028304128443"
"30" "GD" "-8.16" "7.26" "2.50887290906047" "-0.790349926196888" "4.13337533541548" "0.979715827482611"
"31" "GE" "-13.024167" "9.273056" "0.0298179224548263" "-0.960430129164925" "2.69495808225239" "-6.9992043423803"
"32" "GF" "-14.066389" "10.183333" "-5.22913199295364" "-2.01216306469733" "0.130799274890577" "-9.56433624504623"
"33" "GH" "-3.783" "8.654" "0.690252265502516" "-1.56422877693143" "1.55375989279016" "-0.767340087637838"
"34" "GI" "-14.0825" "10.2975" "-5.0778515699254" "-2.19008325109071" "0.0765981975301936" "-8.58101310445188"
"35" "GK" "-16.5467142" "13.4840472" "0.250074522743535" "0.678673953452315" "0.0104656084339192" "-0.140270950354529"
"36" "GM" "4.5366632" "12.7494862" "-3.93307179423668" "0.404970670521735" "-3.28908074395728" "-1.03329089308462"
"37" "GP" "-7.4381355" "13.8018074" "-2.80575659956308" "0.45572814334662" "-3.61818715891782" "1.53680363214398"
"38" "GQ" "4.1956212" "12.4317585" "-3.36534584505538" "0.351361515194471" "-2.91127575031446" "-1.0118787364077"
"39" "GR" "-16.340278" "12.862222" "0.0525951738669629" "0.456350431864368" "-0.765501731251226" "0.15381627478262"
"40" "GT" "-7.4833" "10.225" "-0.220680764271834" "-1.10138844381972" "-0.474165199814582" "0.581876700040254"
"41" "GV" "4.5366632" "12.7494862" "-3.93307179423668" "0.404970670521735" "-3.28908074395728" "-1.03329089308462"
"42" "HA" "-1.031667" "7.955" "-0.0106739735109584" "-1.87904255482522" "1.50127841615179" "-1.90909774479537"
"43" "HB" "14.33333" "10.16667" "-2.14423659333907" "-0.684860890018802" "-1.74640533207135" "-1.31679022133484"
"44" "HC" "13.61666667" "10.41666667" "4.56404435418274" "1.392803775351" "0.377485398007457" "3.77813963211719"
"45" "HE" "-7.116667" "13" "-2.16189470322873" "0.425724335274399" "-3.12351734789898" "0.903450690332541"
"46" "HF" "-16.6409198" "13.2747943" "1.97289303157267" "1.09722626659567" "1.25991478880814" "1.05036517012463"
"47" "HG" "-8.024167" "7.25" "2.80183827646359" "-0.615709007636499" "3.98571251547141" "0.932637833477105"
"48" "HH" "-6.6728" "7.96" "2.85216853418606" "-0.852274613605463" "3.13289498801717" "0.646685507004308"
"49" "HI" "-8.771389" "7.963333" "2.16142037525525" "-0.937475712239761" "3.17960550928756" "2.19734056848221"
"50" "HK" "8.674167" "9.084444" "1.91507685302352" "-0.702575782937443" "1.06298328626134" "-0.206129630335387"
"51" "HL" "-9.428333" "6.452222" "3.14424553993013" "0.835841482363542" "6.17705637498683" "-0.0516687220086093"
"52" "HM" "-16.41667" "13.53333" "-0.115915453306497" "0.570637830034798" "0.0134704812199759" "-0.28476523402845"
"53" "HN" "-4.0066" "5.3987" "5.35339558288737" "0.899802591659639" "5.46411759344598" "-1.46959105796525"
"54" "HP" "-9.428333" "6.452222" "3.14424553993013" "0.835841482363542" "6.17705637498683" "-0.0516687220086093"
"55" "HR" "-4.7588042" "10.6400163" "-1.49254303392553" "-0.983638188792637" "-0.713472603670277" "-1.17755517839089"
"56" "HS" "-8.024167" "7.25" "2.80183827646359" "-0.615709007636499" "3.98571251547141" "0.932637833477105"
"57" "HV" "0.5847029" "7.2855909" "2.69918436452141" "-0.70680415591738" "4.34882471483774" "-0.281167123328375"
"58" "IA" "5.2249797" "13.0329227" "-4.03229744314926" "0.693136735476537" "-4.02301620635464" "-0.613629157014008"
"59" "IC" "-9.58333" "6.98333" "3.39415166663499" "0.485552447932038" "5.34563244968989" "0.758975630309153"
"60" "ID" "8.6600586" "11.7574188" "-0.617615323060743" "1.80506011423447" "-2.77598981600535" "1.8733584108584"
"61" "IH" "8.674167" "9.084444" "1.91507685302352" "-0.702575782937443" "1.06298328626134" "-0.206129630335387"
"62" "IL" "-8.311389" "6.685556" "1.96180485461526" "-0.628875296157293" "3.9055754983722" "0.289332478588348"
"63" "IM" "13.833333" "10.75" "3.31748247706181" "1.26118525123698" "-0.0979156382495684" "3.04031200326305"
"64" "IP" "-11.816389" "11.216667" "4.73289535104651" "2.63940689362091" "1.06919636794045" "3.48742470592821"
"65" "IQ" "13.83333" "10.75" "3.31748247706181" "1.26118525123698" "-0.0979156382495684" "3.04031200326305"
"66" "IT" "-6.4823" "9.518361" "1.07091857768591" "-1.2976404118969" "0.856572320256306" "-0.428107837413385"
"67" "KA" "-4.43" "8.366" "0.399663747129284" "-1.41436941427156" "1.99880297726595" "-0.916636042872048"
"68" "KD" "-9.428333" "6.452222" "3.14424553993013" "0.835841482363542" "6.17705637498683" "-0.0516687220086093"
"69" "KE" "-0.8579818" "10.7875419" "-2.3143973117874" "-3.00872698929553" "-0.838570495287024" "-2.3612717429458"
"70" "KF" "-13.366389" "13.699722" "-3.5326574360201" "-0.0852731886130854" "-3.16186742591354" "-1.33571385272002"
"71" "KG" "-13.8998" "9.952" "-2.45169289775647" "-1.15138116744675" "1.81151583889992" "-9.04825094525181"
"72" "KH" "5.2237175" "13.0214754" "-4.03229744314926" "0.693136735476537" "-4.02301620635464" "-0.613629157014008"
"73" "KI" "7.2073178" "9.1913759" "1.72689223795243" "-1.40440606903527" "0.715479978105964" "-0.297850189692553"
