Code_ADN	RL2011	PBN2011	PBL2011	PBintL2011	SBN2011	SBL2011	SBintL2011	SPN2011
DT	14.625	10.75	9.42	1.566666667	7	1.848333333	1.365	83.33333333
EA	16.03941176	8.294117647	10.07588235	2.315882353	3.529411765	2.305294118	2.177058824	50.52941176
EB	22.89722222	15.05555556	13.00388889	1.678333333	12.55555556	2.870555556	1.692777778	133
EC	21.79733333	13.86666667	11.242	1.746666667	8	2.401333333	1.762	103.6
ED	23.37777778	16	9.89	1.56	0.222222222	0.695555556	0.951111111	127.6666667
EF	16.31333333	10.73333333	7.924666667	1.710666667	3.733333333	1.877333333	1.473333333	65.46666667
EG	17.72529412	13.29411765	9.66	1.484705882	8.294117647	1.844705882	1.015882353	106.0588235
EI	17.42266667	13.06666667	10.54333333	1.452666667	7.266666667	2.47	1.224666667	107.0666667
EL	22.22444444	16.38888889	9.882222222	1.463333333	4.111111111	1.402777778	1.178333333	121.0555556
EN	12.55285714	10.71428571	8.232857143	1.331428571	2.142857143	1.764285714	0.927142857	76.71428571
EP	14.64444444	9	11.25666667	1.85	13	2.265555556	0.65	81.44444444
ER	16.12333333	9.777777778	9.822222222	1.888888889	10.44444444	2.334444444	0.991111111	76.11111111
EV	20.47	11.83333333	10.16	1.92	12.66666667	2.935	1.256666667	79.33333333
FA	18.05666667	10.94444444	9.553333333	1.863333333	2.111111111	1.288333333	1.091111111	74.55555556
FC	13.96555556	9.055555556	10.64388889	1.783333333	9.222222222	2.441666667	0.955555556	82.88888889
FF	13.89	8.611111111	9.156111111	1.928888889	3.888888889	2.67	1.108333333	52.94444444
FG	22.08888889	11.44444444	12.26777778	2.122222222	7.277777778	2.220555556	1.407777778	94.88888889
FK	13.612	7.733333333	9.207333333	2.351333333	2.933333333	1.985333333	1.126	56
FM	18.11222222	10.16666667	9.562777778	2.018333333	0.444444444	0.663888889	0.432777778	63.83333333
FN	16.12777778	12	11.58222222	1.479444444	12.44444444	2.318333333	1.003333333	117.7777778
FP	25.26888889	16.61111111	10.82444444	1.619444444	8.444444444	2.263333333	1.31	143.1111111
FQ	19.69222222	12.61111111	10.84555556	1.727777778	4.277777778	1.820555556	1.359444444	89.22222222
FR	14.23529412	10.47058824	9.36	1.537647059	0.941176471	1.247058824	0.730588235	64.76470588
GB	18.98777778	12.22222222	8.803333333	1.733888889	5.055555556	1.871111111	1.375555556	74.94444444
GE	19.74777778	11.11111111	15.18	1.977777778	8.888888889	3.343333333	2.288888889	92.44444444
GF	19.69888889	11.77777778	11.91	1.856111111	9.222222222	2.452222222	1.236111111	118.1666667
GM	16.354375	15.8125	9.17625	1.113125	3.875	1.839375	1.4175	112.1875
GN	16.22583333	9	10.52166667	2.245833333	8.666666667	2.631666667	1.276666667	69.91666667
GQ	13.29352941	7.941176471	8.561176471	1.965294118	4.529411765	1.499411765	0.98	56.76470588
GR	19.85611111	11.38888889	10.38944444	1.957777778	6.055555556	2.204444444	1.072222222	85.72222222
GT	22.44055556	15.11111111	10.25111111	1.605555556	5.055555556	1.975	1.667222222	113.7222222
GV	19.52545455	11.81818182	9.129090909	1.822727273	3.272727273	1.844545455	1.310909091	73.63636364
HB	15.74666667	10.33333333	8.744444444	1.738333333	4.166666667	2.173333333	1.15	71.61111111
HI	19.19222222	13.5	11.64777778	1.582222222	13.94444444	2.580555556	1.337777778	120.3888889
HR	15.39333333	9.333333333	10.73666667	1.86	5.166666667	2.3	1.093333333	75.16666667
HS	18.26470588	10.11764706	10.13823529	2.022941176	11.64705882	2.280588235	1.994705882	70.70588235
HT	18.44777778	9.555555556	11.17444444	2.195555556	7.111111111	2.731111111	1.273333333	68.22222222
IA	14.17888889	8.166666667	10.65388889	2.001111111	7.722222222	2.488333333	1.787222222	59.33333333
IB	16.9	10.91666667	9.333333333	1.830833333	9.833333333	2.546666667	1.508333333	75.5
IC	20.97888889	14.16666667	10.99888889	1.689444444	6.166666667	2.22	1.387222222	106.3333333
ID	15.18111111	7.777777778	11.99444444	2.263333333	5.111111111	2.624444444	1.036666667	60.77777778
IG	17.64222222	10.88888889	9.293333333	1.788333333	2.166666667	1.298888889	1.191666667	78.33333333
IL	23.275	16	9.84625	1.56	7.875	1.90625	1.6675	110.375
IM	17.47642857	10.64285714	11.10142857	1.845714286	7.714285714	2.792857143	1.427142857	105.6428571
IN	14.97388889	9.388888889	11.89	2.145	6.555555556	2.564444444	1.447222222	79.5
IP	21.97222222	17.22222222	10.35722222	1.362777778	3.222222222	2.121666667	0.866111111	154.0555556
IQ	17.71	10.84615385	9.478461538	1.801538462	5.692307692	2.518461538	1.268461538	72.53846154
IS	16.6	11.44444444	9.483333333	1.616111111	3.277777778	1.717222222	1.038333333	97.61111111
IT	18.07916667	12.75	9.7625	1.584166667	8.333333333	2.026666667	1.511666667	101.75
IV	16.31777778	7.555555556	10.15777778	2.485555556	2.444444444	1.181111111	0.702222222	49.33333333
KB	20.16444444	15.83333333	17.70388889	1.69	9.055555556	1.308333333	0.870555556	130.1666667
KC	18.90333333	14	11.49611111	1.478333333	6.222222222	2.294444444	1.536666667	111.2777778
KE	15.28555556	9.222222222	8.753333333	1.884444444	2.222222222	2.075555556	1.441111111	54.11111111
